timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.?,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2022-03-16T00:00:00Z,39367.14131304,41699.22336278,38955.29207743,40588.08491399,32222563417.83,39339.78287033,41640.22703162,38951.96407671,40616.59994509,13682162974.08,115366184,13682162974,1679849120,11048947998,5696237140
2022-03-15T00:00:00Z,39729.09736975,39871.54261219,38247.65710464,39303.87697798,32478514420.29,39709.82513716,39793.39837858,38240.74545431,39251.04710500,12322600351.75,84912123,12322600351,2580937865,11832058939,5658005139
2022-03-14T00:00:00Z,37829.66339365,39824.58451915,37677.32786071,39643.38940789,32500738824.25,37784.13660043,39778.37974625,37658.39226670,39619.89505787,12760654265.13,84025800,12760654265,1920067032,11868245145,5867746580
2022-03-13T00:00:00Z,38891.20039863,39286.90042502,37703.96301818,37875.56361318,22134812226.98,38883.86170703,39262.32616505,37711.59055245,37857.54490589,7891780771.69,67778268,7891780771,1386882580,8176530528,4611840078
2022-03-12T00:00:00Z,38809.26363820,39486.75711373,38752.24591687,38882.54642514,19302518794.35,38788.16761923,39459.69581693,38748.71570754,38865.90781230,6501799005.95,75836707,6501799005,1117562274,7294108920,4313211885
2022-03-11T00:00:00Z,39431.66290395,40184.91410346,38316.90733141,38785.54211608,36517579717.33,39421.63943791,40145.87383664,38297.13756021,38763.67884521,14905633932.97,104613639,14905633932,2348422670,13129539457,6029370016
2022-03-10T00:00:00Z,41810.13592839,41898.21134290,38608.39302815,39424.18607614,43728783528.31,41806.93496595,41879.22336343,38616.54937208,39421.88662036,17679139936.37,124867398,17679139936,2778390501,16929937237,6216448454
2022-03-09T00:00:00Z,38771.84851968,42355.92855638,38762.55601352,41798.74987820,45000608639.95,38746.59480560,42353.50937468,38746.59480560,41827.60415802,18260634517.73,143792061,18260634517,3009101520,16730728505,6856352034
2022-03-08T00:00:00Z,37937.12015934,39248.67096667,37866.29834070,38686.02720786,36947461516.04,37923.98420676,39211.84671444,37878.75004328,38651.19897766,14274212658.03,106055175,14274212658,2777541982,13644149177,6145502522
2022-03-07T00:00:00Z,38542.58482449,39834.54912474,37617.17707910,38404.56389649,38475982331.94,38540.41615021,39813.36123740,37626.87597827,38397.88849321,15339948422.26,98274368,15339948422,2912913080,14117014839,6007831621
