Date;Price;Open;High;Low;Vol;Change %
Apr 09. 2021;58118.70;58076.80;58890.90;57686.00;5922K;0.07%
Apr 08. 2021;58077.40;55948.00;58136.70;55721.60;6478K;3.80%
Apr 07. 2021;55948.70;57996.30;58627.70;55489.30;11069K;-3.53%
Apr 06. 2021;57996.30;59169.00;59487.00;57403.30;7715K;-1.69%
Apr 05. 2021;58993.40;58202.30;59205.10;56842.70;5413K;1.36%
Apr 04. 2021;58199.90;57059.70;58464.80;56470.60;5721K;2.00%
Apr 03. 2021;57059.90;58976.80;59770.50;56906.70;6874K;-3.25%
Apr 02. 2021;58977.30;58718.20;60134.90;58466.50;7237K;0.44%
Apr 01. 2021;58718.30;58763.20;59406.50;58040.70;6904K;-0.08%
Mar 31. 2021;58763.70;58771.40;59795.60;56991.60;9806K;-0.01%
Mar 30. 2021;58771.30;57614.60;59366.90;57077.10;8621K;2.00%
Mar 29. 2021;57616.20;55764.70;58392.60;54951.10;10791K;3.32%
Mar 28. 2021;55765.20;55856.90;56504.20;54711.30;5871K;-0.17%
Mar 27. 2021;55862.90;55033.80;56531.10;54010.20;7387K;1.50%
Mar 26. 2021;55036.10;51317.40;55074.10;51302.00;10030K;7.24%
Mar 25. 2021;51322.30;52330.00;53175.40;50441.30;14335K;-1.92%
Mar 24. 2021;52325.40;54309.10;57169.40;51725.40;13791K;-3.91%
Mar 23. 2021;54452.50;54117.50;55813.80;52992.30;8484K;0.54%
Mar 22. 2021;54158.30;57379.30;58379.90;53784.20;9553K;-5.62%
Mar 21. 2021;57383.80;58097.40;58583.80;55583.30;7747K;-1.22%
Mar 20. 2021;58093.40;58084.10;59882.10;57863.00;6783K;0.01%
Mar 19. 2021;58088.00;57645.00;59448.30;56305.10;8398K;0.75%
Mar 18. 2021;57656.00;58911.80;60088.00;57099.60;10262K;-2.13%
Mar 17. 2021;58913.50;56892.90;58933.20;54253.20;11826K;3.56%
Mar 16. 2021;56889.70;55619.50;56889.70;53342.60;12851K;1.97%
Mar 15. 2021;55791.30;59117.40;60565.90;55088.80;11771K;-5.62%
Mar 14. 2021;59113.70;61192.70;61673.70;59113.70;8029K;-3.40%
Mar 13. 2021;61195.30;57267.40;61795.80;56118.80;13464K;6.86%
Mar 12. 2021;57265.10;57806.20;58052.30;55134.50;11696K;-0.92%
Mar 11. 2021;57799.50;55851.20;58135.00;54351.80;12963K;3.49%
Mar 10. 2021;55851.90;54882.70;57328.70;53073.60;14096K;1.77%
Mar 09. 2021;54879.00;52352.40;54880.60;51941.30;11406K;4.91%
Mar 08. 2021;52311.00;50988.90;52384.90;49338.10;6814K;2.61%
Mar 07. 2021;50982.30;48899.00;51434.10;48890.60;8291K;4.35%
Mar 06. 2021;48855.60;48798.70;49191.80;47132.80;6666K;0.13%
Mar 05. 2021;48792.50;48363.60;49429.40;46370.10;11364K;0.75%
Mar 04. 2021;48428.00;50388.00;51757.70;47521.80;956K;-3.90%
Mar 03. 2021;50395.10;48422.20;52567.90;48159.20;4493K;4.07%
Mar 02. 2021;48424.20;49595.60;50191.90;47100.60;10210K;-2.36%
Mar 01. 2021;49595.50;45160.50;49774.00;45008.80;13752K;9.81%
Feb 28. 2021;45164.00;46136.00;46582.00;43100.60;13508K;-2.11%
Feb 27. 2021;46136.70;46333.10;48335.10;45059.40;9875K;-0.45%
Feb 26. 2021;46345.60;46928.50;48413.90;44248.20;18941K;-1.24%
Feb 25. 2021;46928.50;49695.90;52013.80;46773.70;8322K;-5.57%
Feb 24. 2021;49697.50;48911.10;51311.80;47031.70;15375K;1.61%
Feb 23. 2021;48911.20;54114.10;54115.00;45093.80;31507K;-9.61%
Feb 22. 2021;54111.80;57437.60;57480.80;48353.80;24495K;-5.78%
Feb 21. 2021;57433.80;55907.60;58335.10;55502.70;8726K;2.70%
Feb 20. 2021;55923.70;55922.00;57523.80;54124.10;12785K;0.03%
Feb 19. 2021;55906.60;51590.10;56238.50;50816.80;13943K;8.38%
Feb 18. 2021;51582.20;52094.50;52524.00;50941.60;9435K;-0.95%
Feb 17. 2021;52079.20;49161.30;52577.70;49018.10;14003K;5.92%
Feb 16. 2021;49169.70;47934.20;50515.80;47044.40;14137K;2.57%
Feb 15. 2021;47936.30;48611.10;48936.50;45786.10;12318K;-1.45%
Feb 14. 2021;48643.40;47172.10;49695.10;47051.90;10650K;3.13%
Feb 13. 2021;47168.70;47373.10;48097.30;46270.50;8942K;-0.43%
Feb 12. 2021;47371.70;47995.00;48927.40;46218.60;13373K;-1.29%
Feb 11. 2021;47990.70;44834.80;48622.10;44041.10;14577K;7.04%
Feb 10. 2021;44836.00;46507.80;47295.30;43800.50;15183K;-3.60%
Feb 09. 2021;46508.60;46396.40;48143.50;45104.70;19387K;0.24%
Feb 08. 2021;46395.70;38853.60;46596.40;38057.00;24847K;19.41%
Feb 07. 2021;38852.90;39228.90;39691.70;37381.60;12537K;-1.03%
Feb 06. 2021;39256.60;38300.60;40939.70;38275.30;15602K;2.50%
Feb 05. 2021;38297.60;36976.40;38303.60;36640.00;10060K;3.56%
Feb 04. 2021;36982.10;37648.90;38707.90;36380.80;15144K;-1.77%
Feb 03. 2021;37646.80;35486.90;37646.80;35401.50;13103K;6.09%
Feb 02. 2021;35485.20;33514.00;35976.10;33462.40;12085K;5.88%
Feb 01. 2021;33515.70;33106.80;34685.60;32324.90;12632K;1.23%
Jan 31. 2021;33108.10;34281.60;34348.30;32189.90;10192K;-3.43%
Jan 30. 2021;34283.10;34300.00;34920.90;32908.50;12857K;-0.05%
Jan 29. 2021;34301.80;33381.70;38546.00;31953.30;29773K;2.78%
Jan 28. 2021;33374.80;30408.90;33790.80;29911.90;16739K;9.77%
Jan 27. 2021;30404.00;32499.60;32545.40;29290.40;19435K;-6.46%
Jan 26. 2021;32502.10;32244.10;32917.70;30850.00;13984K;0.77%
Jan 25. 2021;32252.30;32244.30;34854.30;31967.40;14243K;0.03%
Jan 24. 2021;32241.30;32088.50;33034.80;30982.90;8821K;0.47%
Jan 23. 2021;32088.90;32994.10;33441.40;31418.20;10070K;-2.76%
Jan 22. 2021;33000.50;30838.70;33821.20;28871.20;24309K;7.00%
Jan 21. 2021;30842.10;35472.30;35591.10;30101.80;25327K;-13.06%
Jan 20. 2021;35476.30;35862.10;36384.40;33444.50;15361K;-1.46%
Jan 19. 2021;36002.90;36630.60;37821.00;36001.40;7911K;-1.67%
Jan 18. 2021;36613.20;35838.20;37436.80;34801.00;11152K;2.16%
Jan 17. 2021;35839.60;36020.10;36801.30;33883.50;12682K;-0.50%
Jan 16. 2021;36019.50;36751.80;37931.70;35408.40;13702K;-2.24%
Jan 15. 2021;36845.80;39175.70;39715.00;34488.70;11842K;-5.95%
Jan 14. 2021;39175.70;37383.40;40054.30;36772.10;17240K;4.80%
Jan 13. 2021;37382.20;34061.20;37764.60;32451.90;20993K;9.70%
Jan 12. 2021;34076.10;35426.00;36598.70;32572.70;24193K;-4.13%
Jan 11. 2021;35544.30;38195.30;38217.20;30411.60;25104K;-6.93%
Jan 10. 2021;38192.20;40149.70;41362.40;35141.60;21578K;-4.88%
Jan 09. 2021;40151.90;40607.20;41363.50;38775.10;12842K;-1.10%
Jan 08. 2021;40599.30;39466.40;41921.70;36613.40;25129K;2.89%
Jan 07. 2021;39460.20;36798.50;40340.90;36361.20;24960K;7.25%
Jan 06. 2021;36793.20;33999.30;36934.80;33408.30;22756K;8.24%
Jan 05. 2021;33991.50;32015.40;34414.70;30010.50;20213K;6.15%
Jan 04. 2021;32022.60;33016.60;33587.50;28204.50;25527K;-2.84%
Jan 03. 2021;32958.90;32192.90;34755.90;32029.60;15521K;2.38%
Jan 02. 2021;32193.30;29359.70;33233.50;29008.00;24087K;9.65%
Jan 01. 2021;29359.90;28951.70;29627.10;28712.40;10090K;1.42%
Dec 31. 2020;28949.40;28866.80;29298.80;28025.00;13669K;0.28%
Dec 30. 2020;28868.70;27374.50;28979.30;27374.50;15982K;5.45%
Dec 29. 2020;27376.00;27065.30;27390.70;25902.80;11957K;1.18%
Dec 28. 2020;27057.80;26259.20;27444.90;26144.30;12698K;3.03%
Dec 27. 2020;26261.30;26460.30;28360.30;25858.20;23123K;-0.73%
Dec 26. 2020;26454.40;24714.70;26826.00;24515.10;15577K;7.15%
Dec 25. 2020;24689.60;23728.70;24778.90;23445.30;240K;4.02%
Dec 24. 2020;23736.50;23253.20;23783.70;22737.30;10459K;2.06%
Dec 23. 2020;23257.90;23820.80;24063.70;22694.70;17847K;-2.37%
Dec 22. 2020;23823.20;22730.40;23825.40;22388.60;13075K;4.82%
Dec 21. 2020;22728.50;23474.10;24101.90;22015.50;15469K;-3.18%
Dec 20. 2020;23474.90;23843.60;24280.90;23098.90;11409K;-1.55%
Dec 19. 2020;23844.00;23127.60;24107.10;22797.00;13388K;3.10%
Dec 18. 2020;23127.90;22823.30;23272.80;22361.50;13180K;1.33%
Dec 17. 2020;22825.40;21352.30;23738.00;21243.10;31074K;6.90%
Dec 16. 2020;21352.20;19434.70;21525.30;19299.70;19981K;9.87%
Dec 15. 2020;19434.90;19273.90;19556.30;19076.20;9839K;0.84%
Dec 14. 2020;19273.80;19176.40;19346.50;19007.00;6711K;0.51%
Dec 13. 2020;19176.80;18808.10;19403.60;18716.80;8245K;1.96%
Dec 12. 2020;18808.90;18026.70;18936.20;18025.10;7137K;4.36%
Dec 11. 2020;18023.60;18250.50;18288.30;17600.10;11153K;-1.23%
Dec 10. 2020;18247.20;18546.10;18551.80;17926.80;8531K;-1.61%
Dec 09. 2020;18546.00;18322.40;18637.90;17658.80;12972K;1.20%
Dec 08. 2020;18326.60;19170.80;19288.60;18229.20;10141K;-4.40%
Dec 07. 2020;19170.70;19368.40;19424.60;18908.80;6198K;-1.08%
Dec 06. 2020;19379.90;19146.00;19417.10;18873.00;5456K;1.22%
Dec 05. 2020;19146.50;18657.50;19172.70;18507.10;5944K;2.62%
Dec 04. 2020;18658.10;19431.10;19529.50;18610.80;11063K;-3.99%
Dec 03. 2020;19433.30;19219.80;19596.60;18883.70;9997K;1.12%
Dec 02. 2020;19218.80;18767.90;19335.50;18346.70;9192K;2.39%
Dec 01. 2020;18770.70;19697.80;19897.40;18257.00;20872K;-4.71%
Nov 30. 2020;19698.10;18186.00;19831.20;18186.00;18559K;8.32%
Nov 29. 2020;18185.50;17729.70;18336.30;17530.40;7912K;2.57%
Nov 28. 2020;17730.70;17142.60;17874.40;16874.40;9520K;3.52%
Nov 27. 2020;17127.10;17160.90;17450.30;16481.60;13880K;-0.20%
Nov 26. 2020;17162.00;18721.90;18894.90;16235.20;31207K;-8.34%
Nov 25. 2020;18723.00;19151.50;19486.70;18527.70;14612K;-2.24%
Nov 24. 2020;19152.60;18394.60;19416.60;18074.80;18079K;4.21%
Nov 23. 2020;18379.60;18428.10;18756.80;18016.00;12735K;-0.18%
Nov 22. 2020;18412.90;18689.30;18751.50;17644.60;12176K;-1.47%
Nov 21. 2020;18687.20;18673.80;18966.00;18397.50;10891K;0.06%
Nov 20. 2020;18675.20;17805.50;18811.00;17758.40;13442K;4.90%
Nov 19. 2020;17803.50;17775.10;18166.00;17380.10;13594K;0.16%
Nov 18. 2020;17774.60;17662.30;18466.10;17258.90;23343K;0.64%
Nov 17. 2020;17662.30;16715.80;17845.40;16562.00;17587K;5.66%
Nov 16. 2020;16715.80;15954.10;16880.70;15870.70;11809K;4.78%
Nov 15. 2020;15953.00;16074.70;16158.10;15782.30;5843K;-0.73%
Nov 14. 2020;16071.00;16323.10;16328.20;15717.70;8364K;-1.55%
Nov 13. 2020;16324.20;16293.00;16474.10;15973.40;11375K;0.18%
Nov 12. 2020;16294.70;15695.80;16342.70;15483.50;16554K;3.82%
Nov 11. 2020;15695.80;15303.10;15953.90;15281.00;11907K;2.56%
Nov 10. 2020;15303.60;15328.00;15465.30;15096.50;9336K;-0.15%
Nov 09. 2020;15327.20;15483.30;15819.60;14816.90;16504K;-1.01%
Nov 08. 2020;15483.70;14826.60;15648.30;14720.70;9499K;4.42%
Nov 07. 2020;14828.40;15578.20;15754.40;14385.10;16073K;-4.81%
Nov 06. 2020;15577.90;15593.90;15955.20;15223.50;18613K;-0.06%
Nov 05. 2020;15587.10;14145.60;15739.90;14099.70;22749K;10.19%
Nov 04. 2020;14145.60;14023.00;14238.80;13544.40;14080K;0.90%
Nov 03. 2020;14019.90;13560.50;14054.00;13294.60;10817K;3.38%
Nov 02. 2020;13561.40;13759.70;13828.40;13214.20;9776K;-1.44%
Nov 01. 2020;13759.40;13795.50;13889.50;13628.70;5171K;-0.27%
Oct 31. 2020;13797.30;13560.20;14065.40;13441.70;10275K;1.75%
Oct 30. 2020;13559.90;13457.00;13667.90;13134.50;10877K;0.76%
Oct 29. 2020;13457.20;13278.30;13640.00;12982.90;11123K;1.34%
Oct 28. 2020;13278.90;13658.30;13851.70;12907.60;14418K;-2.77%
Oct 27. 2020;13657.80;13061.50;13782.30;13050.30;12864K;4.56%
Oct 26. 2020;13061.60;13033.00;13229.70;12792.40;8947K;0.23%
Oct 25. 2020;13032.20;13117.00;13345.30;12900.40;5973K;-0.65%
Oct 24. 2020;13117.20;12933.60;13161.50;12876.40;5120K;1.42%
Oct 23. 2020;12934.10;12972.70;13025.50;12738.90;7394K;-0.31%
Oct 22. 2020;12974.60;12805.50;13183.90;12698.20;11331K;1.30%
Oct 21. 2020;12808.70;11913.60;13213.50;11894.60;19772K;7.51%
Oct 20. 2020;11913.50;11753.90;12029.40;11685.70;9459K;1.36%
Oct 19. 2020;11753.40;11507.10;11823.30;11413.90;7304K;2.14%
Oct 18. 2020;11506.90;11362.10;11506.90;11349.80;3151K;1.27%
Oct 17. 2020;11362.10;11321.80;11402.70;11274.40;2986K;0.35%
Oct 16. 2020;11322.00;11503.20;11542.20;11224.60;7142K;-1.57%
Oct 15. 2020;11503.00;11421.40;11590.90;11276.70;7084K;0.72%
Oct 14. 2020;11420.40;11424.40;11541.00;11293.50;5912K;-0.03%
Oct 13. 2020;11423.80;11533.50;11558.00;11315.90;6467K;-0.95%
Oct 12. 2020;11533.90;11370.80;11715.90;11227.40;8402K;1.43%
Oct 11. 2020;11371.00;11295.60;11439.40;11277.60;4106K;0.64%
Oct 10. 2020;11298.40;11053.50;11475.00;11053.10;6581K;2.21%
Oct 09. 2020;11054.20;10923.50;11103.00;10836.90;7095K;1.19%
Oct 08. 2020;10924.10;10670.70;10948.60;10549.60;7978K;2.37%
Oct 07. 2020;10670.90;10601.00;10680.10;10553.30;4927K;0.64%
Oct 06. 2020;10602.60;10790.20;10800.30;10530.80;6907K;-1.73%
Oct 05. 2020;10789.50;10672.50;10789.60;10623.40;4886K;1.09%
Oct 04. 2020;10672.90;10544.40;10693.30;10520.80;3140K;1.22%
Oct 03. 2020;10544.20;10572.20;10597.80;10501.20;2910K;-0.27%
Oct 02. 2020;10572.30;10619.60;10662.90;10387.60;7794K;-0.45%
Oct 01. 2020;10620.50;10776.60;10913.70;10462.70;9533K;-1.44%
Sep 30. 2020;10776.10;10843.40;10847.70;10667.60;5555K;-0.60%
Sep 29. 2020;10840.90;10694.30;10858.40;10642.40;5964K;1.38%
Sep 28. 2020;10693.20;10776.40;10946.60;10685.20;7229K;-0.77%
Sep 27. 2020;10776.20;10727.90;10799.20;10602.70;4092K;0.45%
Sep 26. 2020;10727.90;10688.90;10793.30;10650.20;3785K;0.37%
Sep 25. 2020;10688.80;10739.90;10756.00;10558.90;7143K;-0.47%
Sep 24. 2020;10739.40;10238.10;10787.80;10201.00;8295K;4.90%
Sep 23. 2020;10237.30;10531.50;10535.40;10146.60;7495K;-2.79%
Sep 22. 2020;10531.50;10419.40;10570.70;10361.70;6352K;1.10%
Sep 21. 2020;10416.80;10919.90;10987.20;10328.50;10985K;-4.62%
Sep 20. 2020;10921.50;11081.60;11081.60;10772.70;5339K;-1.45%
Sep 19. 2020;11081.80;10933.00;11177.10;10890.70;5163K;1.36%
Sep 18. 2020;10933.00;10941.30;11029.70;10818.70;6348K;-0.08%
Sep 17. 2020;10941.30;10950.10;11039.30;10755.20;7722K;-0.07%
Sep 16. 2020;10949.50;10785.20;11093.30;10669.20;9494K;1.52%
Sep 15. 2020;10785.30;10675.20;10931.80;10627.80;9170K;1.03%
Sep 14. 2020;10675.30;10332.70;10744.30;10264.50;9664K;3.38%
Sep 13. 2020;10326.00;10441.70;10579.60;10219.40;6612K;-1.11%
Sep 12. 2020;10441.90;10390.20;10476.80;10275.90;4849K;0.50%
Sep 11. 2020;10390.20;10339.80;10398.80;10212.60;6228K;0.49%
Sep 10. 2020;10339.70;10224.30;10480.30;10219.20;8801K;1.13%
Sep 09. 2020;10224.60;10126.80;10343.30;9984.60;7137K;0.97%
Sep 08. 2020;10126.60;10376.90;10434.40;9877.10;11390K;-2.41%
Sep 07. 2020;10376.90;10296.40;10400.90;9887.00;1240M;0.78%
Sep 06. 2020;10296.40;10092.20;10337.70;10004.70;1212M;2.02%
Sep 05. 2020;10092.20;10472.30;10558.70;9897.80;1472M;-3.63%
Sep 04. 2020;10472.50;10168.70;10614.20;9960.30;1250M;2.99%
Sep 03. 2020;10168.80;11413.20;11442.70;10009.50;965M;-10.90%
Sep 02. 2020;11413.30;11914.40;11947.50;11244.90;2026M;-4.21%
Sep 01. 2020;11914.90;11644.20;12045.90;11544.60;58069K;2.32%
Aug 31. 2020;11644.20;11701.10;11760.20;11563.80;49614K;-0.49%
Aug 30. 2020;11702.00;11468.10;11704.20;11462.60;40936K;2.04%
Aug 29. 2020;11468.10;11527.80;11576.80;11433.50;38985K;-0.51%
Aug 28. 2020;11527.40;11327.50;11539.00;11281.90;46494K;1.77%
Aug 27. 2020;11327.40;11462.30;11580.30;11135.30;56059K;-1.18%
Aug 26. 2020;11462.30;11324.90;11533.60;11254.60;51306K;1.21%
Aug 25. 2020;11324.80;11752.90;11766.90;11131.00;59407K;-3.65%
Aug 24. 2020;11753.50;11641.60;11824.60;11587.10;42913K;0.96%
Aug 23. 2020;11641.60;11661.10;11705.40;11520.80;37733K;-0.17%
Aug 22. 2020;11661.30;11529.20;11677.00;11382.10;43398K;1.15%
Aug 21. 2020;11529.20;11856.90;11877.40;11495.60;50638K;-2.76%
Aug 20. 2020;11856.90;11751.00;11881.00;11672.70;43093K;0.91%
Aug 19. 2020;11750.20;11944.40;12013.20;11602.60;55026K;-1.65%
Aug 18. 2020;11947.60;12283.00;12381.40;11842.00;60679K;-2.73%
Aug 17. 2020;12282.60;11898.80;12444.10;11764.00;62841K;3.22%
Aug 16. 2020;11899.00;11845.50;11922.50;11688.90;41081K;0.45%
Aug 15. 2020;11845.30;11751.10;11964.00;11711.50;49910K;0.80%
Aug 14. 2020;11750.80;11771.10;11835.50;11651.50;43544K;-0.17%
Aug 13. 2020;11770.90;11557.20;11772.90;11298.40;54567K;1.85%
Aug 12. 2020;11557.20;11390.40;11605.40;11190.60;54959K;1.46%
Aug 11. 2020;11390.40;11889.20;11931.80;11146.70;61590K;-4.19%
Aug 10. 2020;11889.20;11681.10;12041.10;11546.90;56411K;1.78%
Aug 09. 2020;11681.20;11764.40;11792.80;11527.50;30300K;-0.71%
Aug 08. 2020;11764.30;11591.60;11805.50;11533.50;31706K;1.49%
Aug 07. 2020;11592.00;11757.10;11901.80;11352.40;51700K;-1.40%
Aug 06. 2020;11757.10;11735.00;11898.40;11563.00;55485K;0.19%
Aug 05. 2020;11735.10;11184.80;11771.50;11114.50;57083K;4.92%
Aug 04. 2020;11184.70;11223.80;11407.80;11043.00;48579K;-0.35%
Aug 03. 2020;11224.40;11066.90;11461.10;10981.60;47024K;1.42%
Aug 02. 2020;11066.80;11802.60;12061.10;10730.70;64795K;-6.24%
Aug 01. 2020;11803.10;11333.20;11847.70;11226.10;61147K;4.14%
Jul 31. 2020;11333.40;11096.50;11434.80;10964.60;53095K;2.14%
Jul 30. 2020;11096.20;11105.80;11164.40;10861.60;50114K;-0.09%
Jul 29. 2020;11105.90;10908.40;11336.50;10771.80;57683K;1.81%
Jul 28. 2020;10908.50;10961.10;11046.10;10873.60;65837K;-1.04%
Jul 27. 2020;11022.80;9932.70;11367.00;9894.60;90899K;10.98%
Jul 26. 2020;9932.50;9690.00;10086.60;9645.90;41507K;2.35%
Jul 25. 2020;9704.10;9546.70;9729.30;9536.20;30629K;1.65%
Jul 24. 2020;9546.40;9599.20;9626.20;9480.50;35916K;-0.55%
Jul 23. 2020;9599.60;9513.60;9646.50;9451.10;42566K;0.90%
Jul 22. 2020;9513.70;9387.40;9523.10;9296.00;38600K;1.35%
Jul 21. 2020;9387.30;9162.30;9426.90;9155.10;45899K;2.46%
Jul 20. 2020;9162.40;9208.10;9218.40;9139.90;31298K;-0.50%
Jul 19. 2020;9208.00;9170.10;9224.80;9106.40;26525K;0.41%
Jul 18. 2020;9170.20;9155.80;9198.80;9126.70;27640K;0.16%
Jul 17. 2020;9155.80;9135.40;9181.90;9091.50;31092K;0.22%
Jul 16. 2020;9135.30;9198.70;9224.20;9052.00;42904K;-0.69%
Jul 15. 2020;9198.70;9253.60;9270.20;9168.70;42984K;-0.59%
Jul 14. 2020;9253.40;9243.10;9274.80;9135.70;45383K;0.11%
Jul 13. 2020;9243.60;9300.50;9329.60;9207.60;45687K;-0.62%
Jul 12. 2020;9300.80;9234.20;9337.80;9170.40;36688K;0.73%
Jul 11. 2020;9233.30;9285.80;9295.50;9184.20;35392K;-0.56%
Jul 10. 2020;9285.10;9239.00;9309.80;9131.90;41847K;0.53%
Jul 09. 2020;9235.70;9430.10;9434.50;9176.00;44427K;-2.06%
Jul 08. 2020;9429.90;9256.30;9458.30;9233.10;50994K;1.88%
Jul 07. 2020;9256.00;9338.80;9371.20;9209.30;42055K;-0.89%
Jul 06. 2020;9339.00;9080.40;9363.00;9063.20;51027K;2.84%
Jul 05. 2020;9081.00;9134.30;9149.60;8932.10;31410K;-0.58%
Jul 04. 2020;9134.40;9067.10;9182.30;9049.60;26125K;0.74%
Jul 03. 2020;9067.10;9085.00;9120.40;9050.90;33388K;-0.20%
Jul 02. 2020;9085.10;9229.90;9259.70;8962.10;48310K;-1.57%
Jul 01. 2020;9229.90;9135.90;9289.00;9101.10;36678K;1.03%
Jun 30. 2020;9135.40;9186.00;9199.80;9075.30;38173K;-0.54%
Jun 29. 2020;9185.40;9122.80;9229.10;9033.60;40112K;0.67%
Jun 28. 2020;9124.00;9008.40;9185.50;8950.20;32901K;1.28%
Jun 27. 2020;9008.30;9160.50;9190.50;8865.30;44193K;-1.66%
Jun 26. 2020;9160.00;9247.50;9296.50;9060.10;48984K;-0.95%
Jun 25. 2020;9247.50;9300.80;9327.30;9022.60;52445K;-0.59%
Jun 24. 2020;9302.00;9624.60;9667.40;9223.00;51578K;-3.35%
Jun 23. 2020;9624.60;9683.90;9715.60;9581.80;37549K;-0.61%
Jun 22. 2020;9683.70;9296.50;9751.90;9285.80;52332K;4.17%
Jun 21. 2020;9296.40;9358.80;9411.20;9288.50;33599K;-0.67%
Jun 20. 2020;9358.80;9314.00;9394.50;9199.80;38344K;0.48%
Jun 19. 2020;9314.00;9390.30;9424.00;9249.60;47849K;-0.79%
Jun 18. 2020;9388.10;9464.60;9480.40;9289.30;39167K;-0.81%
Jun 17. 2020;9464.60;9523.60;9543.60;9258.20;44645K;-0.62%
Jun 16. 2020;9523.50;9425.60;9577.10;9379.30;54547K;1.04%
Jun 15. 2020;9425.40;9345.50;9489.70;8925.60;75090K;0.86%
Jun 14. 2020;9345.30;9470.70;9474.70;9264.40;31127K;-1.33%
Jun 13. 2020;9471.30;9466.50;9484.90;9369.90;36497K;0.05%
Jun 12. 2020;9466.60;9283.70;9547.50;9249.40;52928K;1.97%
Jun 11. 2020;9283.20;9878.90;9945.20;9139.10;91930K;-6.03%
Jun 10. 2020;9878.80;9768.80;9970.90;9710.70;53355K;1.13%
Jun 09. 2020;9768.80;9777.70;9857.20;9616.60;47955K;-0.09%
Jun 08. 2020;9777.90;9743.40;9788.20;9662.30;43104K;0.36%
Jun 07. 2020;9742.60;9669.60;9791.80;9417.40;54920K;0.76%
Jun 06. 2020;9669.60;9630.80;9733.10;9549.50;37085K;0.40%
Jun 05. 2020;9631.20;9794.00;9846.10;9628.70;52705K;-1.67%
Jun 04. 2020;9794.40;9667.20;9864.40;9490.90;59366K;1.32%
Jun 03. 2020;9667.20;9527.00;9667.20;9421.70;55812K;1.47%
Jun 02. 2020;9527.60;10190.70;10207.30;9347.30;106M;-6.49%
Jun 01. 2020;10189.30;9454.50;10301.80;9429.70;79668K;7.77%
May 31. 2020;9454.80;9692.90;9695.60;9406.20;64527K;-2.45%
May 30. 2020;9692.50;9424.80;9729.90;9352.70;72062K;2.84%
May 29. 2020;9424.80;9573.40;9596.50;9358.10;81433K;-1.54%
May 28. 2020;9572.20;9199.80;9610.80;9119.20;94886K;4.06%
May 27. 2020;9199.10;8842.30;9210.90;8818.60;81089K;4.03%
May 26. 2020;8842.50;8897.70;8994.60;8713.90;78492K;-0.63%
May 25. 2020;8898.20;8728.00;8959.50;8666.10;94189K;1.95%
May 24. 2020;8728.20;9177.90;9292.00;8724.10;111M;-4.89%
May 23. 2020;9177.00;9169.80;9303.20;9098.90;81256K;0.08%
May 22. 2020;9169.70;9058.20;9253.50;8952.10;91459K;1.22%
May 21. 2020;9059.00;9511.60;9567.10;8833.60;141M;-4.76%
May 20. 2020;9512.30;9773.00;9829.30;9368.40;115M;-2.67%
May 19. 2020;9773.30;9730.80;9883.90;9498.70;116M;0.44%
May 18. 2020;9730.70;9678.40;9930.20;9524.40;118M;0.55%
May 17. 2020;9677.70;9376.60;9866.00;9327.80;118M;3.18%
May 16. 2020;9379.50;9318.10;9579.00;9233.00;110M;0.66%
May 15. 2020;9318.00;9778.60;9819.60;9223.20;156M;-4.71%
May 14. 2020;9778.40;9298.70;9887.50;9265.80;177M;5.16%
May 13. 2020;9298.70;8813.90;9384.60;8799.10;150M;5.50%
May 12. 2020;8813.80;8569.80;8964.50;8542.80;135M;2.73%
May 11. 2020;8579.80;8737.60;9129.60;8235.60;229M;-1.82%
May 10. 2020;8738.80;9553.90;9569.40;8259.30;247M;-8.54%
May 09. 2020;9554.60;9806.00;9910.50;9533.60;149M;-2.57%
May 08. 2020;9806.20;9980.10;10018.20;9731.40;142M;-1.74%
May 07. 2020;9979.80;9152.70;10033.00;9064.80;191M;9.05%
May 06. 2020;9151.40;9000.60;9373.70;8923.60;162M;1.67%
May 05. 2020;9001.00;8874.20;9078.70;8800.40;105M;1.42%
May 04. 2020;8874.70;8885.50;8945.50;8553.20;112M;-0.12%
May 03. 2020;8885.50;8966.20;9169.90;8742.20;115M;-0.90%
May 02. 2020;8966.30;8821.60;8986.20;8771.30;89034K;1.64%
May 01. 2020;8821.60;8628.60;9040.30;8621.00;111M;2.23%
Apr 30. 2020;8629.00;8770.60;9437.50;8425.50;204M;-1.62%
Apr 29. 2020;8770.90;7746.70;8918.50;7729.70;183M;13.22%
Apr 28. 2020;7746.90;7766.00;7770.10;7655.30;80809K;-0.25%
Apr 27. 2020;7766.00;7679.40;7768.50;7637.70;98050K;1.13%
Apr 26. 2020;7678.90;7540.40;7679.40;7520.50;92159K;1.84%
Apr 25. 2020;7540.40;7503.90;7684.60;7451.00;86193K;0.49%
Apr 24. 2020;7503.80;7491.30;7583.50;7423.50;95195K;0.20%
Apr 23. 2020;7488.50;7112.80;7655.40;7036.50;134M;5.28%
Apr 22. 2020;7112.90;6842.50;7137.40;6821.80;91418K;3.95%
Apr 21. 2020;6842.50;6833.40;6919.30;6774.30;89257K;0.13%
Apr 20. 2020;6833.50;7122.90;7207.50;6771.20;126M;-4.06%
Apr 19. 2020;7122.90;7230.90;7238.00;7079.10;593M;-1.49%
