Date;Price;Open;High;Low;Vol;Change %
Jan 08. 2022;41672.00;41551.30;42304.40;40574.30;5254K;0.30%
Jan 07. 2022;41546.70;43097.90;43127.70;40810.00;8836K;-3.60%
Jan 06. 2022;43097.50;43431.60;43772.30;42481.10;6308K;-0.76%
Jan 05. 2022;43425.90;45833.10;47019.40;42535.10;8374K;-5.26%
Jan 04. 2022;45837.30;46435.70;47505.40;45602.10;5559K;-1.28%
Jan 03. 2022;46430.20;47293.90;47556.00;45704.00;4106K;-1.86%
Jan 02. 2022;47311.80;47738.70;47944.90;46718.20;2702K;-0.89%
Jan 01. 2022;47738.00;46217.50;47917.60;46217.50;3124K;3.29%
Dec 31. 2021;46219.50;47123.30;48553.90;45693.60;5818K;-1.92%
Dec 30. 2021;47123.30;46470.70;47901.40;46003.00;6096K;1.42%
Dec 29. 2021;46461.70;47548.40;48121.70;46127.80;6392K;-2.28%
Dec 28. 2021;47545.20;50703.40;50703.80;47345.70;7439K;-6.18%
Dec 27. 2021;50678.20;50783.60;52016.30;50459.00;4390K;-0.20%
Dec 26. 2021;50779.90;50404.00;51247.00;49527.00;3234K;0.74%
Dec 25. 2021;50406.40;50789.60;51140.20;50196.80;2667K;-0.75%
Dec 24. 2021;50786.10;50807.40;51795.30;50428.40;4597K;-0.03%
Dec 23. 2021;50801.00;48599.60;51355.60;48053.40;5624K;4.53%
Dec 22. 2021;48599.70;48898.70;49540.30;48449.70;4089K;-0.62%
Dec 21. 2021;48902.00;46900.10;49306.10;46654.00;5788K;4.28%
Dec 20. 2021;46895.20;46703.40;47488.90;45577.30;5753K;0.41%
Dec 19. 2021;46704.50;46855.70;48270.20;46438.40;4405K;-0.32%
Dec 18. 2021;46856.20;46171.80;47330.20;45513.40;3693K;1.48%
Dec 17. 2021;46172.20;47630.40;47997.20;45523.80;6750K;-3.06%
Dec 16. 2021;47628.20;48876.60;49387.80;47543.90;4820K;-2.54%
Dec 15. 2021;48871.50;48366.20;49477.90;46572.60;8028K;1.04%
Dec 14. 2021;48366.50;46709.80;48635.00;46338.30;6254K;3.56%
Dec 13. 2021;46703.60;50075.90;50196.10;45848.20;8037K;-6.74%
Dec 12. 2021;50081.00;49332.50;50779.20;48670.50;4030K;1.55%
Dec 11. 2021;49314.50;47138.40;49487.00;46834.00;4523K;4.62%
Dec 10. 2021;47137.20;47591.70;49974.80;47007.10;6806K;-0.97%
Dec 09. 2021;47596.60;50477.60;50790.20;47341.90;5869K;-5.70%
Dec 08. 2021;50473.90;50596.60;51204.70;48700.70;5559K;-0.24%
Dec 07. 2021;50595.20;50547.40;51918.60;50070.90;5629K;0.07%
Dec 06. 2021;50562.10;49412.10;50913.30;47237.90;8968K;2.34%
Dec 05. 2021;49405.50;49196.40;49689.30;47797.80;7203K;0.43%
Dec 04. 2021;49195.20;53620.70;53847.20;42587.80;16800K;-8.27%
Dec 03. 2021;53631.50;56495.20;57543.60;52008.90;8920K;-5.07%
Dec 02. 2021;56496.00;57207.80;57377.50;55807.90;5494K;-1.25%
Dec 01. 2021;57210.30;56891.70;59064.30;56496.50;6675K;0.58%
Nov 30. 2021;56882.90;57795.20;59174.40;55936.90;7366K;-1.58%
Nov 29. 2021;57794.80;57288.10;58855.20;56726.70;5865K;0.88%
Nov 28. 2021;57291.50;54758.00;57392.30;53448.30;4928K;4.61%
Nov 27. 2021;54765.90;53747.20;55280.30;53654.30;4071K;1.93%
Nov 26. 2021;53730.90;58937.30;59151.10;53533.50;10403K;-8.83%
Nov 25. 2021;58935.10;57167.10;59387.30;57029.80;5679K;3.08%
Nov 24. 2021;57171.70;57559.40;57697.40;55910.60;5668K;-0.70%
Nov 23. 2021;57573.20;56304.80;57855.10;55542.50;7248K;2.25%
Nov 22. 2021;56308.80;58719.70;59288.30;55656.80;7645K;-4.10%
Nov 21. 2021;58714.30;59724.00;60002.60;58528.30;4098K;-1.68%
Nov 20. 2021;59717.60;58080.80;59854.60;57435.30;4453K;2.81%
Nov 19. 2021;58083.40;56908.30;58335.90;55626.30;7444K;1.98%
Nov 18. 2021;56955.30;60368.20;60936.90;56524.40;10037K;-5.65%
Nov 17. 2021;60367.80;60074.20;60814.50;58531.90;7393K;0.46%
Nov 16. 2021;60089.10;63605.10;63605.60;58655.90;11536K;-5.52%
Nov 15. 2021;63597.90;65514.90;66311.20;63439.50;5353K;-2.92%
Nov 14. 2021;65508.20;64397.20;65508.20;63608.30;3398K;1.72%
Nov 13. 2021;64398.60;64133.30;64906.00;63381.40;3034K;0.41%
Nov 12. 2021;64134.50;64782.60;65449.70;62309.70;6327K;-1.04%
Nov 11. 2021;64806.70;64922.80;65583.30;64121.90;5037K;-0.19%
Nov 10. 2021;64932.60;66942.60;68990.60;62951.30;9621K;-2.95%
Nov 09. 2021;66904.40;67528.70;68493.30;66334.90;6613K;-0.92%
Nov 08. 2021;67527.90;63276.40;67763.30;63276.40;8108K;6.72%
Nov 07. 2021;63273.20;61483.80;63273.20;61347.20;3434K;2.91%
Nov 06. 2021;61483.90;60973.20;61543.20;60093.60;3489K;0.84%
Nov 05. 2021;60974.30;61411.50;62560.30;60742.40;4446K;-0.71%
Nov 04. 2021;61412.60;62915.40;63077.60;60742.90;4991K;-2.39%
Nov 03. 2021;62918.50;63223.50;63508.60;60883.00;6105K;-0.48%
Nov 02. 2021;63221.70;60912.20;64256.40;60651.50;6526K;3.79%
Nov 01. 2021;60915.30;61310.10;62430.10;59612.70;6121K;-0.64%
Oct 31. 2021;61309.60;61842.20;62393.70;60005.70;5006K;-0.86%
Oct 30. 2021;61840.10;62245.00;62338.50;60786.00;4051K;-0.65%
Oct 29. 2021;62242.80;60579.90;62952.20;60322.20;6339K;2.74%
Oct 28. 2021;60582.50;58437.20;62251.30;58128.10;8847K;3.67%
Oct 27. 2021;58438.10;60312.50;61452.90;58112.60;8811K;-3.11%
Oct 26. 2021;60310.80;63067.50;63275.10;59907.30;5713K;-4.37%
Oct 25. 2021;63067.00;60864.30;63694.80;60655.80;5106K;3.62%
Oct 24. 2021;60866.50;61308.20;61469.90;59523.70;4267K;-0.73%
Oct 23. 2021;61312.50;60693.20;61728.70;59738.30;3705K;1.03%
Oct 22. 2021;60690.30;62200.80;63699.70;60055.70;7569K;-2.44%
Oct 21. 2021;62210.20;66004.60;66616.90;62092.10;10538K;-5.71%
Oct 20. 2021;65979.10;64276.90;66967.10;63543.70;7987K;2.65%
Oct 19. 2021;64278.50;62030.20;64454.00;61451.00;8016K;3.58%
Oct 18. 2021;62056.30;61525.80;62623.60;60026.90;8015K;0.86%
Oct 17. 2021;61527.50;60865.50;61651.40;59143.40;5339K;1.09%
Oct 16. 2021;60861.10;61669.20;62329.20;60161.90;4993K;-1.32%
Oct 15. 2021;61672.50;57348.20;62892.80;56874.80;12148K;7.54%
Oct 14. 2021;57345.80;57370.40;58506.50;56866.80;5984K;-0.06%
Oct 13. 2021;57380.10;56014.50;57697.40;54314.40;7362K;2.44%
Oct 12. 2021;56015.90;57480.60;57635.70;54155.40;7485K;-2.54%
Oct 11. 2021;57477.30;54686.90;57814.10;54457.80;7384K;5.10%
Oct 10. 2021;54687.70;54942.50;56432.20;54100.80;10443K;-0.46%
Oct 09. 2021;54942.50;53924.10;55430.80;53711.70;6465K;1.91%
Oct 08. 2021;53914.70;53785.50;55977.90;53659.30;6405K;0.24%
Oct 07. 2021;53783.90;55325.20;55325.60;53476.40;7568K;-2.78%
Oct 06. 2021;55323.20;51470.00;55676.10;50439.50;11626K;7.49%
Oct 05. 2021;51469.30;49229.50;51872.40;49060.10;7663K;4.55%
Oct 04. 2021;49227.30;48200.40;49481.70;46958.60;6692K;2.13%
Oct 03. 2021;48200.10;47665.40;49165.20;47123.00;4241K;1.12%
Oct 02. 2021;47666.90;48147.20;48306.90;47451.70;3982K;-1.00%
Oct 01. 2021;48146.00;43824.40;48435.20;43292.90;9466K;9.86%
Sep 30. 2021;43823.30;41534.50;44101.20;41416.70;6432K;5.50%
Sep 29. 2021;41536.80;41023.10;42571.20;40815.00;4821K;1.25%
Sep 28. 2021;41022.30;42169.90;42758.80;40906.40;6001K;-2.73%
Sep 27. 2021;42172.60;43200.90;44293.20;42143.90;5412K;-2.39%
Sep 26. 2021;43203.40;42685.80;43907.30;40786.60;6991K;1.21%
Sep 25. 2021;42686.80;42818.70;42959.30;41714.50;4635K;-0.31%
Sep 24. 2021;42819.90;44867.40;45112.00;40908.50;12888K;-4.57%
Sep 23. 2021;44869.20;43550.70;44949.80;43090.10;7454K;3.03%
Sep 22. 2021;43551.60;40660.80;43976.70;40585.70;9398K;7.13%
Sep 21. 2021;40651.30;43012.30;43619.30;39646.80;14255K;-5.18%
Sep 20. 2021;42870.60;47240.80;47323.90;42547.10;7796K;-9.25%
Sep 19. 2021;47238.70;48299.90;48341.90;46866.60;4198K;-2.21%
Sep 18. 2021;48306.70;47283.90;48761.00;47070.50;4364K;2.17%
Sep 17. 2021;47282.80;47748.20;48155.90;46788.80;5016K;-0.97%
Sep 16. 2021;47748.00;48132.30;48480.60;47040.30;6091K;-0.80%
Sep 15. 2021;48130.60;47070.80;48436.50;46743.90;6340K;2.24%
Sep 14. 2021;47077.50;44950.20;47247.60;44718.70;6533K;4.73%
Sep 13. 2021;44949.50;46060.80;46807.70;43463.20;9615K;-2.42%
Sep 12. 2021;46062.30;45162.60;46386.40;44755.20;4452K;1.99%
Sep 11. 2021;45161.90;44844.90;45975.60;44766.60;4158K;0.71%
Sep 10. 2021;44842.80;46385.90;47021.60;44283.60;7562K;-3.33%
Sep 09. 2021;46385.60;46057.60;47305.70;45609.00;7363K;0.70%
Sep 08. 2021;46061.40;46774.10;47316.90;44493.70;10048K;-1.54%
Sep 07. 2021;46779.60;52674.20;52885.30;43072.40;18756K;-11.19%
Sep 06. 2021;52672.10;51769.40;52726.20;51002.80;6946K;1.75%
Sep 05. 2021;51768.60;49918.70;51878.20;49492.40;5730K;3.71%
Sep 04. 2021;49918.40;49999.30;50534.60;49461.40;4814K;-0.16%
Sep 03. 2021;49999.00;49269.50;51008.80;48377.30;8808K;1.47%
Sep 02. 2021;49274.30;48817.80;50355.30;48612.90;8021K;0.93%
